1144,NZL,New Zealand,country,4510327,38900,188600000000
1145,NIC,Nicaragua,country,6025951,5800,36380000000
1146,NER,Niger,country,19245344,1200,21840000000
1147,NGA,Nigeria,country,190632261,5900,1119000000000
1148,NIU,Niue,country,1618,5800,10010000
1149,PRK,North Korea,country,25248140,1700,40000000000
1150,MNP,Northern Mariana Islands,country,52263,24500,1242000000
1151,NOR,Norway,country,5320045,71800,380000000000
1152,OMN,Oman,country,4613241,45200,186600000000
1153,PAK,Pakistan,country,204924861,5400,1057000000000
1154,PLW,Palau,country,21431,16200,291000000
1155,PAN,Panama,country,3753142,25400,103900000000
1156,PNG,Papua New Guinea,country,6909701,3700,30330000000
1157,PRY,Paraguay,country,6943739,9800,68330000000
1158,PER,Peru,country,31036656,13300,424400000000
1159,PHL,Philippines,country,104256076,8300,875600000000
1160,POL,Poland,country,38476269,29500,1121000000000
1161,PRT,Portugal,country,10839514,30400,313400000000
1162,PRI,Puerto Rico,country,3351827,37300,121000000000
1163,QAT,Qatar,country,2314307,124500,340600000000
1164,COG,Republic of the Congo,country,4954674,6600,28880000000
1165,ROU,Romania,country,21529967,24500,481500000000
1166,RUS,Russia,country,142257519,27800,4008000000000
1167,RWA,Rwanda,country,11901484,2100,24630000000
1168,SHN,Saint Helena Ascension and Tristan da Cunha,country,7828,7800,31100000
1169,KNA,Saint Kitts and Nevis,country,52715,26800,1528000000
1170,LCA,Saint Lucia,country,164994,14400,2536000000
1171,MAF,Saint Martin,country,32125,19300,561500000
1172,SPM,Saint Pierre and Miquelon,country,5533,46200,261300000
1173,VCT,Saint Vincent and the Grenadines,country,102089,11500,1266000000
1174,WSM,Samoa,country,200108,5700,1134000000
1175,SMR,San Marino,country,33537,58600,2052000000
1176,STP,Sao Tome and Principe,country,201025,3200,676000000
1177,SAU,Saudi Arabia,country,28571770,54800,1774000000000
1178,SEN,Senegal,country,14668522,2700,43240000000
1179,SRB,Serbia,country,7111024,15000,105500000000
1180,SYC,Seychelles,country,93920,28900,2718000000
1181,SLE,Sierra Leone,country,6163195,1600,11500000000
1182,SGP,Singapore,country,5888926,93900,527000000000
1183,SXM,Sint Maarten,country,42083,66800,365800000
1184,SVK,Slovakia,country,5445829,33000,179400000000
1185,SVN,Slovenia,country,1972126,34400,71080000000
1186,SLB,Solomon Islands,country,647581,2200,1324000000
1187,ZAF,South Africa,country,54841552,13500,765600000000
1188,KOR,South Korea,country,51181299,39400,2029000000000
1189,SSD,South Sudan,country,13026129,1500,18740000000
1190,ESP,Spain,country,48958159,38300,1774000000000
1191,LKA,Sri Lanka,country,22409381,12800,274700000000
1192,SDN,Sudan,country,37345935,4600,187000000000
1193,SUR,Suriname,country,591919,14600,8508000000
1194,SWE,Sweden,country,9960487,51500,520900000000
1195,CHE,Switzerland,country,8236303,61400,517200000000
1196,SYR,Syria,country,18028549,2900,50280000000
1197,TWN,Taiwan,country,23508428,50300,1185000000000
1198,TJK,Tajikistan,country,8468555,3200,28380000000
1199,TZA,Tanzania,country,53950935,3200,162200000000
1200,THA,Thailand,country,68414135,17900,1234000000000
1201,BHS,The Bahamas,country,329988,31200,11600000000
1202,GMB,The Gambia,country,2051363,1700,3602000000
1203,TLS,Timor-Leste,country,1291358,5400,6753000000
1204,TGO,Togo,country,7965055,1700,12940000000
1205,TKL,Tokelau,country,1285,1000,1500000
1206,TON,Tonga,country,106479,5600,587000000
1207,TTO,Trinidad and Tobago,country,1218208,31400,43010000000
1208,TUN,Tunisia,country,11403800,11800,135400000000
1209,TUR,Turkey,country,80845215,26900,2173000000000
1210,TKM,Turkmenistan,country,5351277,18100,103500000000
1211,TCA,Turks and Caicos Islands,country,52570,29100,632000000
1212,TUV,Tuvalu,country,11052,3800,42000000
1213,UGA,Uganda,country,39570125,2400,88670000000
1214,UKR,Ukraine,country,44033874,8700,368800000000
1215,ARE,United Arab Emirates,country,6072475,67700,686800000000
1216,GBR,United Kingdom,country,65648100,44100,2914000000000
1217,USA,United States,country,326625791,59500,19390000000000
1218,URY,Uruguay,country,3360148,22400,78150000000
1219,UZB,Uzbekistan,country,29748859,6900,222600000000
1220,VUT,Vanuatu,country,282814,2700,770000000
1221,VEN,Venezuela,country,31304016,12100,380700000000
1222,VNM,Vietnam,country,96160163,6900,647400000000
1223,VIR,Virgin Islands,country,107268,37000,3872000000
1224,WLF,Wallis and Futuna,country,15714,3800,60000000
1225,WEB,West Bank,country,2747943,4300,21220000000
1226,ESH,Western Sahara,country,603253,2500,906500000
1227,YEM,Yemen,country,28036829,1300,38600000000
1228,ZMB,Zambia,country,15972001,4000,68890000000
1229,ZWE,Zimbabwe,country,13805084,2300,33960000000
